Date,Close,High,Low,Open,Volume
2015-01-02,170.12498474121094,171.32579919572484,169.08980858140774,170.91172873180355,121465900
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600
2015-01-06,165.4791717529297,167.88077604924092,164.6841506836419,167.35904307763232,209151400
2015-01-07,167.54119873046875,167.88073956316435,166.35696320099726,166.80415376773578,125346700
2015-01-08,170.51422119140625,170.72954593158084,168.93248153754053,168.94903525876288,147217800
2015-01-09,169.14779663085938,170.94486105666158,168.53496775123423,170.92829469871802,158567300
2015-01-12,167.82276916503906,169.43765422966325,167.21822977118725,169.28030541730055,144396100
2015-01-13,167.35072326660156,170.16639741804175,166.05053592069322,169.04012523018008,214553300
2015-01-14,166.3403778076172,166.5391361681046,164.44394075078782,165.33832178191363,192991100
2015-01-15,164.81658935546875,167.2927223172649,164.7006501462518,166.97803739877665,176613900
2015-01-16,166.97808837890625,167.13543720440362,164.42741236095966,164.60960440770086,211879600
2015-01-20,167.3341522216797,167.88072826145347,165.7689663888203,167.61571710165006,130991100
2015-01-21,168.1788330078125,168.65915618197872,166.40661222416333,166.87036904434433,122942700
2015-01-22,170.6798858642578,170.81237883664812,167.55779037723386,168.93250763678003,174356000
2015-01-23,169.7440948486328,170.67989840459322,169.61158923007656,170.42316402997878,117516800
2015-01-26,170.14158630371094,170.23268233008037,168.81656812684636,169.5287699776171,92009700
2015-01-27,167.8973388671875,169.04016504485415,167.06919772918775,168.0878077907268,134044600
2015-01-28,165.7440948486328,169.18087402369926,165.55362600784005,169.08150117396832,168514300
2015-01-29,167.2761688232422,167.53289045567897,164.53501209375062,165.94286159724774,173585400
2015-01-30,165.17269897460938,167.4252432198437,164.90770045916094,166.10022536974702,197729700
2015-02-02,167.2182159423828,167.30931195061558,163.85596577085477,165.66959643885335,163107000
2015-02-03,169.63638305664062,169.64467255315608,167.7399459094598,168.11260679625465,124212900
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
2015-02-05,170.69639587402344,170.84546780487813,169.57841325653533,169.6529429037491,97953200
2015-02-06,170.2244110107422,171.62397153579192,169.70267805759966,171.06082899905493,125672000
2015-02-09,169.46253967285156,170.29895774498164,169.05674593125056,169.57847893667585,87219000
2015-02-10,171.267822265625,171.5245439299293,169.50387805595938,170.49765727271208,96164200
2015-02-11,171.36724853515625,171.79788548751807,170.4563008178285,171.10224992815543,91087800
2015-02-12,173.0151824951172,173.0731584193076,171.40031038702816,172.1621984422182,97545900
2015-02-13,173.72740173339844,173.77708816692638,172.88269445414045,173.13942875474757,93670400
2015-02-17,174.000732421875,174.17464761829712,173.16431443405426,173.41274666261336,76968200
2015-02-18,174.01731872558594,174.09184840269504,173.36308008492023,173.6280913409955,80652900
2015-02-19,173.8931121826172,174.2574963880696,173.28029568838704,173.4210781975057,91462500
2015-02-20,174.93646240234375,175.01099203958267,172.85782096333855,173.47892654651372,140896400
2015-02-23,174.91163635253906,174.91163635253906,174.30708442736932,174.68803478245675,74411100
2015-02-24,175.40847778320312,175.60723609820604,174.5389275301486,174.8370586844409,72472300
2015-02-25,175.25942993164062,175.76459629161576,174.91988919340287,175.28427314308,73061700
2015-02-26,175.0524139404297,175.32570193265445,174.44786203198112,175.16835315200143,72697900
2015-02-27,174.4562225341797,175.21811089695592,174.40653608562948,174.95309965611298,108076000
2015-03-02,175.55760192871094,175.6155652234063,174.50585939965265,174.55554583408522,87491400
2015-03-03,174.8371124267578,175.60729007726405,173.97585140318802,175.1269668123476,110325800
2015-03-04,174.10008239746094,174.31540714911114,173.13115892432225,174.24086485392425,114497200
2015-03-05,174.29052734375,174.57209219757263,173.78536092416164,174.42302027492002,76873000
2015-03-06,171.83924865722656,173.8599146150726,171.50799732884414,173.4292777790329,188128000
2015-03-09,172.55145263671875,172.90754718755318,171.88066047431653,172.03800928010043,89818900
2015-03-10,169.75233459472656,171.2678341049669,169.71092501842804,171.18502758879842,157121300
2015-03-11,169.35482788085938,170.18296884849192,169.27200872952477,170.00905368526062,110145700
2015-03-12,171.50804138183594,171.57428155538412,169.9345655767912,169.98425202516802,93993500
2015-03-13,170.45632934570312,172.19541853516677,169.42115269610557,171.23478420802988,162410900
2015-03-16,172.73367309570312,172.8247691226568,170.48112828051322,171.18505327392148,136099200
2015-03-17,172.22021484375,172.60115264266457,171.4086275328932,171.99661322656053,94510400
2015-03-18,174.29052734375,174.9613194046207,171.1104569035673,171.7481288907521,228808500
2015-03-19,173.49551391601562,174.2988115784741,173.10628669249752,173.87646427986863,117917300
2015-03-20,175.02694702148438,175.53436844942433,174.2616579764139,174.44466325815185,177715100
2015-03-23,174.6859130859375,175.60925341996233,174.6859130859375,175.0352833889691,71784500
2015-03-24,173.70437622070312,175.01866878054568,173.63782767328215,174.5611681428874,77805300
2015-03-25,171.158935546875,174.14524279752095,171.11735381250836,173.91232923658438,159521700
2015-03-26,170.75128173828125,171.66629534342607,169.79466102806265,170.49341415235105,153067200
2015-03-27,171.14224243164062,171.3169211890724,170.44348932341674,170.63482107676123,118939000
2015-03-30,173.23019409179688,173.52965615952493,172.15712908659208,172.17375670108467,96180400
2015-03-31,171.7162628173828,173.10544304719463,171.65804077441965,172.40668968177818,126768700
2015-04-01,171.1089630126953,171.70788699942432,170.11907440427285,171.68293289104665,137303600
2015-04-02,171.72457885742188,172.1737656359064,170.85946053116376,171.0424658427631,86900900
2015-04-06,172.88084411621094,173.39657946848428,170.70143323496615,170.83451763072776,114368200
2015-04-07,172.42332458496094,173.65444087797837,172.39005666043033,172.90579199409237,81236300
2015-04-08,173.005615234375,173.4464882354777,172.25696632117644,172.64793108711083,89351900
2015-04-09,173.7708740234375,174.00378754198945,172.34843879891193,172.83921994922966,85548900
2015-04-10,174.71914672851562,174.76074114299004,173.82077337860102,174.02040625954504,72722900
2015-04-13,173.9290008544922,175.21003845656278,173.8790926063565,174.57783346593666,74436600
2015-04-14,174.2616729736328,174.44467827112047,173.10541915377996,173.72929738807832,75099900
2015-04-15,175.04360961914062,175.55103114849615,174.6443310577444,174.72751990891874,99529300
2015-04-16,174.99366760253906,175.50108903393541,174.5112002831102,174.71084587168448,68934900
2015-04-17,172.98065185546875,174.04540312484284,172.19872236546422,173.8041757701656,191113200
2015-04-20,174.56112670898438,174.89385667427484,173.82079174730367,173.903967892209,92189500
2015-04-21,174.35321044921875,175.4013215227782,174.05374832922496,175.24327030766514,72559800
2015-04-22,175.20999145507812,175.39299677770984,173.770902991398,174.69424341273557,78264600
2015-04-23,175.6508331298828,176.29966545157106,174.6942122607432,174.81066901866583,102585900
2015-04-24,176.05836486816406,176.32455890488748,175.60917829723118,176.0666913648306,61327400
2015-04-27,175.3264617919922,176.7488973636394,175.13512995354867,176.62412676712225,79358100
2015-04-28,175.8837432861328,175.9336515110271,174.12856545128815,175.3014595076419,86863500
2015-04-29,175.16004943847656,175.7589608327745,174.35316595144636,174.99367176429075,125684900
2015-04-30,173.4048614501953,174.9770339137259,172.7061082608666,174.58606924936552,161304900
2015-05-01,175.2848358154297,175.32643023772877,174.08698753309534,174.18680399234466,103399700
2015-05-04,175.78390502929688,176.366188735552,175.60089976549773,175.7090300084097,70927200
2015-05-05,173.7708740234375,175.90038899608155,173.62946315094771,175.5426922186258,113326200
2015-05-06,173.05552673339844,174.62769963503646,171.99077538693658,174.31992371713588,135060200
2015-05-07,173.74591064453125,174.17015593221083,172.62293753129305,172.95566748495605,88244900
2015-05-08,176.033447265625,176.2330928345655,175.33470681358264,175.41789564051606,155877300
2015-05-11,175.19329833984375,176.25804933631173,175.11843601028733,175.99186793361127,75708100
2015-05-12,174.66934204101562,175.2100443640101,173.53804183804903,174.36156603857495,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.52427673339844,176.61577938439606,175.4428852287453,175.71739318173817,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.26461791992188,177.51415907420704,176.48268845559923,176.54923699435392,74549700
2015-05-19,177.20635986328125,177.65555926753893,176.9235381304282,177.3810513411224,72114600
2015-05-20,177.08160400390625,177.830252816043,176.7655016333957,177.30619103184608,76857500
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600
2015-05-22,177.173095703125,177.63059623069003,177.1065471717183,177.214677429024,57433500
2015-05-26,175.2681884765625,177.1065552486118,174.85226965592858,176.68230992815077,124308600
2015-05-27,176.9318389892578,177.1647524807789,175.31807216026635,175.72567711684493,93214000
2015-05-28,176.7322540283203,176.84038430473933,176.04182717237333,176.62411105906452,74974600
2015-05-29,175.6342010498047,176.70726603429128,175.3680196018721,176.66568430602715,124919600
2015-06-01,175.991943359375,176.63244937719546,175.2016872325964,176.29971930801182,93338800
2015-06-02,175.81719970703125,176.50762645412786,174.91049974835676,175.5343779627752,91531000
2015-06-03,176.28302001953125,176.9068982101551,175.7922388891874,176.34956854967123,87820900
2015-06-04,174.79408264160156,176.23315849532233,174.4779802128809,175.57601221190782,151882800
2015-06-05,174.4945831298828,175.16836957906196,173.8374242944559,174.64430781066267,121704700
2015-06-08,173.42147827148438,174.53615016691566,173.3466159428396,174.3864128167932,89063300
2015-06-09,173.3965606689453,173.93726277294067,172.7643686058993,173.3965606689453,105034700
2015-06-10,175.47613525390625,175.85878612618887,174.1036083217601,174.16183035218305,134551300
2015-06-11,176.04176330566406,176.42440142402697,175.68406660249994,175.91698007267706,73876400
2015-06-12,174.6941680908203,175.91697008625042,174.41966022523076,175.21822971538506,135382400
2015-06-15,173.945556640625,174.22837837118564,172.84752494385896,173.55459196309474,124384200
2015-06-16,174.8938446044922,174.97703343649107,173.62113417047834,173.7958129477088,85308200
2015-06-17,175.17674255371094,175.78399336731653,174.15358547762858,175.17674255371094,126708600
2015-06-18,176.9984130859375,177.4642401362793,175.2099672263391,175.77561073237266,165867900
2015-06-19,176.21267700195312,176.8312356588325,175.83653181049735,176.7560091714565,130478700
2015-06-22,177.11541748046875,177.70053358826098,176.90644653093048,177.1321387277127,70696000
2015-06-23,177.24078369140625,177.5751448421762,176.8479300654339,177.32437716774217,68476800
2015-06-24,175.9535675048828,177.34949213933672,175.92849200731476,176.97334692123923,92307300
2015-06-25,175.41860961914062,176.58048782172534,175.34338312329731,176.45511032865318,97107400
2015-06-26,175.38511657714844,176.0203835704121,174.83343029757677,175.77797016518855,104174800
2015-06-29,171.70729064941406,175.39354216983332,171.63206415011842,173.9056696624012,202621300
2015-06-30,172.066650390625,173.29540034747137,171.59019059918288,173.24523661581534,182925100
2015-07-01,173.4458770751953,173.88889443964797,172.66014431421925,173.63812676525103,135979900
2015-07-02,173.287109375,174.08956362412331,172.86916737650563,173.92238937564107,104373700
2015-07-06,172.7939453125,173.57131132745278,171.79924128982267,171.9998580458966,117975400
2015-07-07,173.88055419921875,174.005931669229,170.61224543215388,172.9945193989469,173820200
2015-07-08,170.96331787109375,172.82733523135315,170.72927142023497,172.54313779167816,164020100
2015-07-09,171.27255249023438,173.32047760897532,171.1638962902982,173.0613429671038,144113100
2015-07-10,173.42918395996094,173.84712590022323,171.3143987625998,173.27036398192914,129456900
2015-07-13,175.34335327148438,175.45200949545605,174.64956816725388,174.6913649093545,106069400
2015-07-14,176.10401916503906,176.4133048903453,175.2430597428105,175.30157773974665,81709600
2015-07-15,176.0455322265625,176.6055729838911,175.569072217663,176.14583422650855,97914100
2015-07-16,177.4581298828125,177.4581298828125,176.8562925380049,177.09869322333674,106683300
2015-07-17,177.60861206054688,177.66713005724577,177.04021711615076,177.44979207473725,89030000
2015-07-20,177.7005615234375,178.1937299807778,177.38293430331788,177.834306013265,70446800
2015-07-21,176.9984588623047,177.82598871616656,176.69754007495303,177.5668539303138,77965000
2015-07-22,176.6807861328125,177.01514736499615,176.27956540876897,176.3129951546989,88667900
2015-07-23,175.68601989746094,176.91476988656254,175.32659604920912,176.81446792976155,90509100
2015-07-24,173.8638458251953,175.84488652548933,173.52949737736176,175.7863812866775,117755000
2015-07-27,172.85244750976562,173.48772751549507,172.4094300081794,172.97783776306483,132361100
2015-07-28,174.97560119628906,175.1176999473199,172.86081567313872,173.68833267941108,123544800
2015-07-29,176.1792449951172,176.40492445434515,174.95884894576088,175.10094767161476,105791300
2015-07-30,176.22105407714844,176.38822831017677,175.05080893679738,175.6693676290362,91304400
2015-07-31,175.9535675048828,176.7476546885501,175.66937002939375,176.72257919098203,103266900
2015-08-03,175.3600616455078,175.97862026628187,174.4071545973059,175.9201150310407,113965700
2015-08-04,175.01739501953125,175.74461001398637,174.532580771702,175.2848712656502,81820800
2015-08-05,175.59414672851562,176.63063465904023,175.30993649328377,175.91177395501018,85786800
2015-08-06,174.1564178466797,175.88669090895726,173.57128890569496,175.77802191913275,116030800
2015-08-07,173.82203674316406,174.1480309207651,172.91928069259777,173.99757795629148,117858000
2015-08-10,176.0120391845703,176.095619902944,174.933742054592,174.933742054592,80270700
2015-08-11,174.42384338378906,175.09255286876916,173.66318618519202,174.67461103497817,126081400
2015-08-12,174.63287353515625,174.81676902476642,171.6571287099403,173.11992562438115,172123700
2015-08-13,174.41555786132812,175.1594941084162,173.87222561057453,174.47406310873316,89383300
2015-08-14,175.05078125,175.12600772977814,174.0811529953894,174.22325170871736,72786500
2015-08-17,176.02882385253906,176.02882385253906,173.9976316775711,174.45737046858608,79072600
2015-08-18,175.5189208984375,176.10403715468834,175.28487439593715,175.75296740093785,71692700
2015-08-19,174.13134765625,175.54398079413636,173.32053921802657,174.77496910362504,172946000
2015-08-20,170.49520874023438,174.1062198915979,170.4366907558024,172.61834784366275,194327900
2015-08-21,165.36289978027344,170.47015049672353,165.10377783345345,168.6228416186139,346588500
2015-08-24,158.3999786376953,165.0703277288356,152.46519861065372,156.71985680685256,507244300
2015-08-25,156.53598022460938,163.3735043476429,156.243415760208,163.35678309850042,369833100
2015-08-26,162.5459747314453,162.82180517053467,157.4554325277485,160.55656714024025,339257000
2015-08-27,166.5665740966797,166.6919515691399,163.17288779329004,164.68583548232655,274143900
2015-08-28,166.574951171875,167.04304413931038,165.438148498999,165.922962716579,160414400
2015-08-31,165.22914123535156,166.44953713642272,164.67745489289854,165.59693213032023,163298800
2015-09-01,160.2974395751953,162.8050909701567,159.42811328238028,161.4258750501832,256000400
2015-09-02,163.34002685546875,163.3818235888187,160.8407301541806,162.67967163042758,160269300
2015-09-03,163.45713806152344,165.54684830839903,162.9639695043598,164.0506086290718,152087800
2015-09-04,160.98284912109375,162.04442505995004,160.16368661345783,161.20018706006013,207081000
2015-09-08,165.02854919433594,165.17901492592512,163.1394562070167,163.7830903693618,116025700
2015-09-09,162.8218231201172,166.7337664970237,162.45404490926228,166.60838901088866,149347700
2015-09-10,163.7078399658203,164.8529966388303,162.37042084416746,162.62954276977638,158611100
2015-09-11,164.45179748535156,164.51866972562667,162.60448851715708,163.31499490982625,119691200
2015-09-14,163.8415985107422,164.67748241004523,163.35678431859728,164.62733141681923,79452000
2015-09-15,165.88954162597656,166.33255911859737,163.79983165905676,164.34315114862494,113806200
2015-09-16,167.32723999023438,167.51950247858431,165.84773460854305,166.1904500829999,99581600
2015-09-17,166.95108032226562,169.59247638943998,166.57493513497366,167.1934937850058,276046600
2015-09-18,164.2228546142578,166.93679233260318,163.81115036110563,164.44132249149104,223657500
2015-09-21,165.0714874267578,166.09655558562346,164.02120058856195,165.05467924749908,105726200
2015-09-22,162.9289093017578,163.3910381019392,161.79459432139305,162.90370344182836,153890900
2015-09-23,162.66842651367188,163.56746535756787,162.08866614231047,163.09693891729887,92790600
2015-09-24,162.08026123046875,162.54239000769567,160.11412732832267,161.45008912176417,159378800
2015-09-25,162.03826904296875,163.84475739356947,161.16442315717407,163.54227425169978,155054800
2015-09-28,157.9715576171875,161.2484606488369,157.66067677744184,161.13922670151618,178515900
2015-09-29,158.06399536132812,159.4251760927764,157.06412004099744,158.19003749953106,159045600
2015-09-30,161.01319885253906,161.18124220471094,159.17309401717506,159.95450137417293,163452000
2015-10-01,161.43331909179688,161.73580226426947,159.49239074380048,161.39130504711446,131079000
2015-10-02,163.84478759765625,163.8699934623849,158.90423297664296,159.45038996116762,211003300
2015-10-05,166.7604217529297,166.98728740554088,164.9623303609115,165.07156434566693,126320800
2015-10-06,166.1890106201172,167.1888859175835,165.52523486261958,166.62593361163326,110274500
2015-10-07,167.5501708984375,167.90306575672685,165.92852126535018,167.1216456398194,124307300
2015-10-08,169.06260681152344,169.34828180417875,166.8611964976431,167.16367967248007,153055200
2015-10-09,169.16339111328125,169.642315217085,168.53321904661914,169.20540514856876,107069200
2015-10-12,169.32308959960938,169.52473651850863,168.8105489792612,169.23906150280968,56395600
2015-10-13,168.2559356689453,169.86077688392322,168.08789235480089,168.59202229723417,88038700
2015-10-14,167.44937133789062,168.77693580292106,167.15529863530722,168.19717525835023,99106200
2015-10-15,170.02044677734375,170.02884445694005,167.74341916003004,168.11312219642502,134142200
2015-10-16,170.79345703125,170.8102523905057,169.6591420581285,170.42375399346568,114580100
2015-10-19,170.87745666503906,170.87745666503906,169.83558036751842,170.14646115682586,76523900
2015-10-20,170.65902709960938,171.27239109091616,170.1885005955447,170.44057202868953,78448500
2015-10-21,169.6003875732422,171.23042258988846,169.4323313591914,171.07918738230967,102038000
2015-10-22,172.46546936035156,172.67552669492218,169.60029706067868,170.549747494738,174911700
2015-10-23,174.3560333251953,174.7257363870614,173.3393627259493,174.13757825267706,144442300
2015-10-26,173.92747497558594,174.2383557315556,173.55777201125318,174.17954634407485,69033000
2015-10-27,173.59144592285156,173.9275326450187,172.9108491560002,173.2553463797978,77905800
2015-10-28,175.5659942626953,175.59120012816956,173.26377307679465,173.9275489024297,135906700
2015-10-29,175.46510314941406,175.8348061283462,174.94416503594584,175.06179663643488,90525500
2015-10-30,174.70889282226562,175.97764742042747,174.54926000595893,175.65835614604768,131076900
2015-11-02,176.77587890625,176.96912809584242,174.91056844424497,175.03661055814953,86270800
2015-11-03,177.28843688964844,177.84299147541532,176.19613589913698,176.42300146983902,95246100
2015-11-04,176.75070190429688,177.70856315028564,176.21295546480997,177.58253383668966,96224500
2015-11-05,176.57424926757812,177.27164138970872,175.6836079229662,176.80951253517802,78408700
2015-11-06,176.4817657470703,176.71704175856806,175.1542146661186,176.2297072006126,110471500
2015-11-09,174.83493041992188,176.01965691928476,173.88546712060347,175.86840896446597,131008700
2015-11-10,175.23825073242188,175.2718670898659,174.0871404971983,174.35600725233144,75874600
2015-11-11,174.54928588867188,175.55755875304874,174.48206598826206,175.50714703296265,67846000
2015-11-12,172.1126708984375,173.9779820990037,172.09587553330766,173.50745545757968,121315200
2015-11-13,170.18006896972656,171.9697618199223,170.09605371636437,171.7008950599256,153577100
2015-11-16,172.76792907714844,172.82675127689907,169.87753849288947,169.99518289239074,117645200
2015-11-17,172.64193725585938,173.96109075779063,172.1462049828163,173.07886013728063,121123700
2015-11-18,175.38108825683594,175.52392572381035,173.0788677856342,173.12086900112726,121342500
2015-11-19,175.22988891601562,175.6500037238599,174.93580342217007,175.26349245945312,88220500
2015-11-20,175.86843872070312,176.5490225803326,175.4903380010073,175.98607034062815,94011500
2015-11-23,175.6667938232422,176.43139295093874,175.2046650180068,175.92726292595165,64931200
