Date,Close,High,Low,Open,Volume
2015-01-02,46.27431106567383,46.622347640828366,45.96329647266296,46.044752742851806,12600000
2015-01-05,44.83773422241211,46.118812020216765,44.60077201847208,45.95590227051567,20100600
2015-01-06,43.67513656616211,44.9858353168401,43.20861600155856,44.90437903137463,29074100
2015-01-07,43.74177551269531,44.34899140497206,43.4455713982527,44.34899140497206,23843200
2015-01-08,44.7192497253418,45.096910151257575,44.408237915587236,44.408237915587236,16971100
2015-01-09,43.941715240478516,45.015451682334316,43.90469043037562,44.963616383227865,15396200
2015-01-12,43.564064025878906,43.986153137338796,43.1493787475971,43.89729019032761,15455200
2015-01-13,43.57146453857422,44.20830148622737,43.22342508466792,43.8824763549748,21644700
2015-01-14,42.0682258605957,43.57145495899076,40.927843801559405,43.57145495899076,49602300
2015-01-15,40.72050476074219,41.92012600468993,40.35765487764076,41.268478676268835,42458100
2015-01-16,41.41658020019531,41.46841549357735,40.461324951049185,40.476135438417145,29368900
2015-01-20,41.25366973876953,41.7572150353589,41.038921898351056,41.49803855541368,23477700
2015-01-21,41.38697052001953,41.77943865553482,40.86861461992746,41.061148183441965,21842400
2015-01-22,42.64582443237305,42.74949502406896,41.43879649017397,41.74981109007348,31423500
2015-01-23,41.971961975097656,42.85316481281336,41.95715148730264,42.7420903915683,15458300
2015-01-26,42.03861999511719,42.201532583474155,41.61653085693098,41.77203678682852,12577700
2015-01-27,41.61652374267578,41.920131716922846,41.290698621660944,41.505446483273076,15220500
2015-01-28,40.542781829833984,41.97196139703499,40.542781829833984,41.92752993426187,24354400
2015-01-29,41.224063873291016,41.38697647743633,40.49096280426273,40.92786247689649,20393300
2015-01-30,40.268795013427734,41.098162547768766,40.26138835720026,40.720504999706414,26943700
2015-02-02,41.07595443725586,41.20924602138031,40.18734481803025,40.379875536869946,20308900
2015-02-03,42.001590728759766,42.04601937556063,41.37215759256254,41.40177857363794,18812500
2015-02-04,41.74981689453125,42.26076609241748,41.67576444387314,41.70538542413639,14934100
